Title,Artist,Year,Entities,Entity Lines
Homicide,Logic,2019.,"[{'porsche', 'rover', 'ford'}, set()]","{'brands': {'rover': 'Like Red Rover, so you know what I meant', 'ford': ""You're lackin' the stamina while you're divorcin' Harrison Ford"", 'porsche': ""And I'm in a Porsche on the floorboards""}, 'locations': {}}"
Baby (Lil Baby feat. DaBaby),Quality Control,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Falling Like The Stars,James Arthur,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Heart To Heart,Mac DeMarco,2019.,"[{'miller'}, set()]","{'brands': {'miller': 'You might also like[Outro: Mac Miller & Mac DeMarco]'}, 'locations': {}}"
Don't Give Up On Me,Andy Grammer,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Si Se Da,Myke Towers,2019.,"[set(), {'montana'}]","{'brands': {}, 'locations': {'montana': 'Junto a Montana The Producer y Los Illusions'}}"
Let Me Know (I Wonder Why Freestyle),Juice WRLD,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
my strange addiction,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Like That,Doja Cat,2019.,"[{'off-white', 'gucci'}, {'rome', 'el dorado'}]","{'brands': {'gucci': '[Chorus: Doja Cat & Gucci Mane]', 'off-white': 'He got Off-White on right, damn, he can dress'}, 'locations': {'el dorado': ""Gucci El Dorado, we in Rome, I'm a model (Rome)"", 'rome': ""Gucci El Dorado, we in Rome, I'm a model (Rome)""}}"
Only Human,Jonas Brothers,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
SUGAR,BROCKHAMPTON,2019.,"[{'jordan'}, {'texas'}]","{'brands': {'jordan': 'Used to trade Jordan for some molly'}, 'locations': {'texas': ""Hunnid, Texas heat, and yeah, we cruisin'""}}"
Fine Line,Harry Styles,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Amigos Con Derechos,Reik,2019.,"[set(), {'san juan'}]","{'brands': {}, 'locations': {'san juan': 'Eran las ocho y quince en la plaza de San Juan'}}"
Si Te Pudiera Mentir,Calibre 50,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Love Songs,Kaash Paige,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Bubble Gum,Clairo,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
