Title,Artist,Year,Entities
bad vibes forever,XXXTENTACION,2019.,"[set(), set()]"
インフェルノ,Mrs. GREEN APPLE,2019.,"[set(), set()]"
bad idea!,girl in red,2019.,"[set(), set()]"
Heart On Ice,Rod Wave,2019.,"[set(), set()]"
Disfruto Lo Malo,Junior H,2019.,"[set(), {'tijuana'}]"
Ocean,KAROL G,2019.,"[set(), set()]"
Mírame,Nio Garcia,2019.,"[{'cayenne'}, set()]"
Selamat (Selamat Tinggal),Virgoun,2019.,"[set(), set()]"
Be Honest,Jorja Smith,2019.,"[set(), set()]"
Goteo,Duki,2019.,"[{'cartier', 'rolex', 'gucci', 'nike', 'patek'}, {'madrid'}]"
Iko Iko (My Bestie),Justin Wellington,2019.,"[set(), set()]"
All Day And Night,Jax Jones,2019.,"[set(), set()]"
gone girl,iann dior,2019.,"[set(), set()]"
Mad Love,Mabel,2019.,"[set(), set()]"
Cristina,Maffio,2019.,"[set(), set()]"
Loco,Beéle,2019.,"[set(), set()]"
HOME,BTS,2019.,"[set(), set()]"
Sixteen,Ellie Goulding,2019.,"[set(), set()]"
Contando Lunares,Don Patricio,2019.,"[{'coca-cola'}, set()]"
"Dreams, Fairytales, Fantasies",A$AP Ferg,2019.,"[{'chanel', 'lambo', 'burberry', 'celine'}, {'jamaica'}]"
Infeliz,Arcángel,2019.,"[set(), {'madrid'}]"
Te Ire A Buscar,Santa Fe Klan,2019.,"[set(), {'santa fe'}]"
Easy,Camila Cabello,2019.,"[set(), set()]"
Si Supieras,Kevin Kaarl,2019.,"[set(), set()]"
Painkiller,Ruel,2019.,"[set(), set()]"
Blanco,J Balvin,2019.,"[set(), {'medellín', 'puerto rico'}]"
Make It Right,BTS,2019.,"[set(), set()]"
8,Billie Eilish,2019.,"[set(), set()]"
Heaven,Avicii,2019.,"[set(), set()]"
Mother's Daughter,Miley Cyrus,2019.,"[set(), set()]"
In The End,Tommee Profitt,2019.,"[set(), set()]"
Aventura,Lunay,2019.,"[set(), set()]"
The Take,Tory Lanez,2019.,"[set(), set()]"
Rodeo,Lil Nas X,2019.,"[set(), set()]"
Norman fucking Rockwell,Lana Del Rey,2019.,"[set(), set()]"
Clout,Offset,2019.,"[{'jeep', 'lambo'}, {'miami'}]"
Loverboy,A-Wall,2019.,"[set(), set()]"
Tom's Diner,AnnenMayKantereit,2019.,"[set(), set()]"
Por Eso Vine,Paulo Londra,2019.,"[set(), set()]"
Bellaquita (Remix),Dalex,2019.,"[{'tommy hilfiger', 'dolce'}, set()]"
"Sunflower, Vol. 6",Harry Styles,2019.,"[set(), set()]"
i met sarah in the bathroom,awfultune,2019.,"[set(), set()]"
Big Plans,Why Don't We,2019.,"[set(), set()]"
I THINK,"Tyler, The Creator",2019.,"[set(), set()]"
What Am I,Why Don't We,2019.,"[set(), set()]"
What I Like About You,Jonas Blue,2019.,"[set(), set()]"
This Bar,Morgan Wallen,2019.,"[set(), set()]"
Unsainted,Slipknot,2019.,"[set(), set()]"
"Duniyaa (From ""Luka Chuppi"")",Akhil,2019.,"[set(), set()]"
Don't Know What To Do,BLACKPINK,2019.,"[set(), set()]"
On The Road,Post Malone,2019.,"[set(), set()]"
Teacher's Pet,Melanie Martinez,2019.,"[set(), set()]"
Death By A Thousand Cuts,Taylor Swift,2019.,"[set(), set()]"
Juliet,Cavetown,2019.,"[set(), set()]"
Audio,Sia,2019.,"[set(), {'hiroshima', 'washingtons'}]"
Dream Girl,Ir Sais,2019.,"[set(), set()]"
Project Dreams,Marshmello,2019.,"[{'louis', 'fiji', 'rollie', 'patek', 'phantom'}, {'fiji', 'atlanta'}]"
Bad Bad Bad,Young Thug,2019.,"[{'ghini', 'rari', 'xanny', 'double r', 'jeep', 'patek', 'diors', 'chanel'}, {'kawasaki'}]"
Vas,jagger finn,2019.,"[set(), set()]"
On My Mind,Diplo,2019.,"[set(), set()]"
Swing,Danny Ocean,2019.,"[set(), set()]"
What You Heard,Sonder,2019.,"[set(), set()]"
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,2019.,"[{'royce', 'benz', 'balenciaga', 'jordan', 'nokia'}, {'tokyo', 'jordan', 'queens', 'austin', 'nyc', 'florida', 'georgia'}]"
Chosen 1,Polo G,2019.,"[set(), set()]"
Esclavo de Tus Besos,Manuel Turizo,2019.,"[set(), set()]"
prom dress,mxmtoon,2019.,"[set(), set()]"
On the Low,Burna Boy,2019.,"[set(), set()]"
Cooler Than Me,Lucky Luke,2019.,"[set(), set()]"
feel something,Bea Miller,2019.,"[set(), set()]"
Supera,Marília Mendonça,2019.,"[set(), set()]"
Nightmare,Halsey,2019.,"[set(), set()]"
"Crazy Story, Pt. 3",King Von,2019.,"[{'porsche', 'glock', 'glocks'}, set()]"
Phone Numbers,Dominic Fike,2019.,"[{'tiffany'}, {'florida', 'la'}]"
GOODMORNINGTOKYO!,TOKYO’S REVENGE,2019.,"[{'google'}, {'tokyo', 'tokyos', 'kyotos'}]"
I Think He Knows,Taylor Swift,2019.,"[set(), set()]"
Wrong,Luh Kel,2019.,"[{'rollie'}, set()]"
Destino,Greeicy,2019.,"[set(), set()]"
Put A Little Love On Me,Niall Horan,2019.,"[set(), set()]"
Candy,mgk,2019.,"[{'xanny'}, set()]"
Rumah Ke Rumah,Hindia,2019.,"[set(), set()]"
Escápate Conmigo,Wolfine,2019.,"[{'apple'}, set()]"
Best Part of Me,Ed Sheeran,2019.,"[set(), set()]"
Looking at Me,Sabrina Carpenter,2019.,"[set(), set()]"
Leaked,Lil Tjay,2019.,"[{'gucci', 'lou v', 'birkin', 'sony'}, {'cali'}]"
Hot Girl Summer,Megan Thee Stallion,2019.,"[{'barbie'}, set()]"
Evaluasi,Hindia,2019.,"[set(), set()]"
Velitas,Darell,2019.,"[{'gucci', 'dior', 'balenciaga'}, set()]"
Dionysus,BTS,2019.,"[set(), set()]"
HIP,MAMAMOO,2019.,"[set(), set()]"
Welcome To The Party,Pop Smoke,2019.,"[{'molly', 'henny', 'rari'}, {'manhattan'}]"
Knockin' Boots,Luke Bryan,2019.,"[set(), set()]"
