Artist,Title,Streams,Daily
Feid,Prohibidox,"301,660,000","232,208"
Harry Styles,Love Of My Life,"301,248,701","109,535"
Freddie Dredd,Limbo,"299,158,544","161,028"
Noah Kahan,Northern Attitude,"298,482,098","526,983"
The Weeknd,Less Than Zero,"298,276,683","173,237"
Imagine Dragons,Sharks,"296,740,498","244,013"
Chance Peña,In My Room,"295,830,231","229,594"
Guilherme & Benuto,Haja Colírio,"295,610,078","103,186"
(G)I-DLE,TOMBOY,"295,588,816","183,530"
g3ox_em,GigaChad Theme,"294,134,259","213,094"
ENHYPEN,Polaroid Love,"292,317,857","160,242"
Grupo Marca Registrada,Si Fuera Fácil,"292,229,344","144,363"
SZA,Blind,"291,033,697","237,099"
Quevedo,SIN SEÑAL,"290,966,847","153,810"
Cults,Gilded Lily,"290,129,862","303,474"
Piso 21,Los Cachos,"289,593,528","190,459"
Taylor Swift,The Great War,"288,795,114","168,050"
Banda MS de Sergio Lizárraga,Ojos Cerrados,"287,945,652","446,326"
La Pantera,Cayó La Noche,"287,740,726","89,369"
Taylor Swift,Labyrinth,"284,937,688","186,977"
Jimin,With you,"284,818,549","68,625"
Taylor Swift,Sweet Nothing,"283,892,310","158,234"
Kanye West,True Love,"282,741,643","244,453"
Paulo Londra,Plan A,"282,048,958","186,454"
Drake,Pussy & Millions,"280,976,046","135,237"
RAYE,Escapism.,"278,034,358","139,923"
Keisya Levronka,Tak Ingin Usai,"277,606,606","238,734"
Taylor Swift,"Would've, Could've, Should've","276,915,378","162,897"
PSY,That That (prod.&feat. SUGA of BTS),"276,855,139","132,176"
Justine Skye,Collide (Sped Up Remix),"275,314,619","142,360"
Bailey Zimmerman,Fall In Love,"275,042,910","249,579"
Sachin-Jigar,Apna Bana Le,"274,939,761","431,001"
BLACKPINK,Tally,"274,137,179","146,745"
Burna Boy,For My Hand,"273,703,996","188,832"
yuji,Old Love,"272,312,106","204,725"
keshi,LIMBO,"271,715,075","253,010"
BoyWithUke,IDGAF,"271,048,815","151,848"
TINI,La Triple T,"270,630,128","101,074"
Shubh,Baller,"269,985,468","142,460"
Lauren Spencer Smith,Flowers,"269,633,232","199,327"
Kendrick Lamar,Rich Spirit,"268,889,259","250,949"
Adie,Mahika,"267,893,652","365,870"
Yung Gravy,Betty (Get Money),"267,555,185","98,960"
MoonDeity,NEON BLADE,"264,963,034","172,461"
benny blanco,Bad Decisions,"263,964,652","73,375"
TWICE,Talk that Talk,"263,762,523","131,706"
Beny Jr,Sigue,"263,528,033","370,699"
Swedish House Mafia,Heaven Takes You Home,"263,063,203","310,258"
Morgan Wallen,One Thing At A Time,"262,900,561","191,715"
Drake,Massive,"262,095,738","163,670"
Mc Paiva ZS,Casei Com a Putaria,"260,531,779","119,492"
Taylor Swift,This Love (Taylor’s Version),"260,296,274","179,891"
Drake,On BS,"260,231,628","117,852"
raissa anggiani,Kau Rumahku,"260,046,968","241,583"
Matuê,Vampiro,"259,484,677","187,912"
Drake,Sticky,"259,467,179","113,081"
Kendrick Lamar,United In Grief,"259,277,011","216,503"
Peso Pluma,El Belicon,"259,029,153","95,641"
Brent Faiyaz,JACKIE BROWN,"258,576,507","204,008"
Kenia OS,Malas Decisiones,"257,878,952","171,770"
Stacey Ryan,Fall In Love Alone,"256,599,079","110,757"
Cole Swindell,She Had Me At Heads Carolina,"255,949,838","196,581"
Rvfv,Mi Luz,"255,241,739","419,878"
Jordan Davis,Next Thing You Know,"254,984,333","471,950"
Mac Miller,Love Lost,"254,955,285","253,052"
Feid,Si Te La Encuentras Por Ahí,"254,638,458","176,640"
imase,NIGHT DANCER,"254,160,177","276,038"
Bad Bunny,El Apagón,"253,815,863","105,988"
Sleepy Hallow,Die Young,"253,740,610","155,800"
Fabio Asher,Rumah Singgah,"253,483,397","300,114"
Megan Moroney,Tennessee Orange,"252,942,773","422,159"
Standly,Pégate,"251,844,034","199,470"
Ari Abdul,BABYDOLL (Speed),"251,464,471","184,381"
Yeat,Talk,"251,324,869","163,414"
Muni Long,Hrs & Hrs,"250,639,725","179,799"
(G)I-DLE,Nxde,"250,444,340","150,315"
PLAYAMANE,MIDNIGHT,"249,764,858","124,790"
Duki,GIVENCHY,"248,114,665","130,848"
David Kushner,Mr. Forgettable,"247,161,667","170,895"
Henrique & Juliano,Aquela Pessoa,"246,523,187","469,188"
Harry Styles,Grapejuice,"246,325,895","75,888"
Yeat,Flawlëss,"245,615,877","228,021"
WIU,Coração de Gelo,"244,809,136","105,741"
Leah Kate,10 Things I Hate About You,"244,597,749","122,114"
j-hope,MORE,"244,306,694","148,444"
Beyoncé,ALIEN SUPERSTAR,"244,275,457","107,567"
Ana Castela,Pipoco,"243,020,026","79,737"
Lil Tjay,In My Head,"241,895,955","83,010"
Jordan Davis,What My World Spins Around,"241,674,857","307,612"
RM,Wild Flower,"241,440,038","175,256"
Juice WRLD,Cigarettes,"239,832,413","116,428"
Rex Orange County,AMAZING,"239,540,822","121,440"
Metro Boomin,Around Me,"239,149,884","291,587"
Ed Sheeran,Celestial,"239,044,581","97,351"
Benzz,Je M'appelle,"237,938,228","111,565"
Harry Styles,Daydreaming,"237,783,650","81,818"
Tulus,Interaksi,"237,406,470","435,472"
Mora,TUS LÁGRIMAS,"236,997,049","109,662"
SunKissed Lola,Pasilyo,"236,313,972","345,223"
NewJeans,Cookie,"235,943,965","164,108"
Duki,Antes de Perderte,"234,814,355","169,621"
PEDRO SAMPAIO,DANÇARINA,"234,190,213","51,190"
WIU,Felina,"233,771,101","145,172"
Juice WRLD,Already Dead,"233,008,214","67,679"
Harry Styles,Cinema,"232,270,781","76,226"
Isabel LaRosa,i'm yours sped up,"231,650,826","153,843"
